url,name,address,phone,website,email,category
http://www.supercom.gob.ec/es/informate-y-participa/directorio-de-medios/28-ecos-de-cayambe-1470-am,Ecos de Cayambe (1470 AM),Terán 52-91 y 10 de Agosto,02 236 0047 / 236 3055,www.ecosdecayambe.es.tl,ecos@pi.pro.ec,radiodifusoras
http://www.supercom.gob.ec/es/informate-y-participa/directorio-de-medios/29-jm-radio-88-9-fm,JM Radio (88.9 FM),Cristóbal Colón y Panzaleo,02 231 6642,,www.jmradio.net,radiodifusoras
http://www.supercom.gob.ec/es/informate-y-participa/directorio-de-medios/191-activa-88-5fm,Activa (88.5FM),"Av. Miguel Cordero y Av. Paucarbamba Ed. Work Center Piso 5, Of. 508",07 281 4688 / 281 9992 / 288 1088,www.fm88radioactiva.com,radio@cadencactiva.com,radiodifusoras
http://www.supercom.gob.ec/es/informate-y-participa/directorio-de-medios/192-alfa-musical-1140am,Alfa Musical (1140AM),Hermano Miguel 1068 y Gran Colombia,07 283 8451,,radioalfa1140am@hotmail.com,radiodifusoras
http://www.supercom.gob.ec/es/informate-y-participa/directorio-de-medios/193-catolica-nacional-98-1fm-cuenca-paute-gualaceo,"Católica Nacional (98.1FM) (Cuenca, Paute, Gualaceo)",Bolívar 9-49 y Luis Cordero,07 282 5845 / 283 8292 / 283 2280,www.radiocatolicacuenca.com.ec,radiocatolicacuenca@gmail.com,radiodifusoras
http://www.supercom.gob.ec/es/informate-y-participa/directorio-de-medios/194-contacot-xg-1260am,Contacot XG (1260AM),Jesús Dávila y Cornelio Merchán,07 288 1240 / 281 4164,www.contactoxg.webpin.com,radionexo.fem@hotmail.com,radiodifusoras
http://www.supercom.gob.ec/es/informate-y-participa/directorio-de-medios/195-cosmos-fm-97-3fm-cuenca-paute,"Cosmos FM (97.3FM) (Cuenca, Paute)",Av. Abelardo J. Andrade 2-07 y Francisco Tamariz,07 283 1423 / 284 2837,www.cosmos.ec,cosmos@rcgrupo.com,radiodifusoras
http://www.supercom.gob.ec/es/informate-y-participa/directorio-de-medios/196-cuenca-la-voz-de-los-cuatro-rios-1180am,Cuenca La Voz de los Cuatro Ríos (1180AM),Bomboíza 1-83 entre Loja y Pastaza,07 288 4128,www.radiocuenca.com,kleberpinosabad@yahoo.es / radiocuenca1180@hotmail.com,radiodifusoras
http://www.supercom.gob.ec/es/informate-y-participa/directorio-de-medios/197-el-mercurio-1200am,El Mercurio (1200AM),Av. de las Américas y Francisco Azcásubi Ed. Mercurio,07 409 5684 / 409 5645,www.radioelmercurio.com.ec,radioinfo@radioelmercurio.com.ec,radiodifusoras
http://www.supercom.gob.ec/es/informate-y-participa/directorio-de-medios/198-la-voz-de-tomebamba-am-fm-1-070am-102-1fm-cuenca-giron-paute,"La Voz de Tomebamba AM / FM (1.070AM; 102.1FM) (Cuenca, Girón, Paute)","Benigno Malo 15-91 y Muñoz Vernaza, esquina",07 284 2000 / 282 5301 / 284 2222,www.lavozdeltomebamba.com,info@lavozdeltomebamba.com,radiodifusoras
http://www.supercom.gob.ec/es/informate-y-participa/directorio-de-medios/199-ondas-azuayas-1110-am,Ondas Azuayas (1110 AM),Héroes de Verdeloma 915 y Francisco Tamariz,07 282 3911 / 283 1975 / 283 1792 / 284 4485,www.ondasazuayas.ec,max_azuayas@hotmail.com,radiodifusoras
http://www.supercom.gob.ec/es/informate-y-participa/directorio-de-medios/200-infinito-fm-97-5-fm,Infinito FM (97.5 FM),Av. Sixto Durán Ballen y Vega Dávila,07 294 4899,www.radioinfinito.ser.ec,radioinfinito@hotmail.com,radiodifusoras
http://www.supercom.gob.ec/es/informate-y-participa/directorio-de-medios/201-radio-super-94-9fm-cuenca-giron-paute,"Radio Súper (94.9FM) (Cuenca, Girón, Paute)","Benigno Malo 1591 y Muñoz Vernaza, esquina",07 284 2949 / 284 2949 / 282 5301,www.super949.com,Súper949@gmail.com,radiodifusoras
http://www.supercom.gob.ec/es/informate-y-participa/directorio-de-medios/202-tropicana-1380am,Tropicana (1390AM),Av. Pumapungo 5-50 y Juan Benigno Vela,07 280 7970 / 280 9644,www.radiotropicana1390.com,radiotropicana1390@hotmail.com,radiodifusoras
http://www.supercom.gob.ec/es/informate-y-participa/directorio-de-medios/204-modular-stereo-92-7-fm,Modular Stéreo (92.7 FM),Vía Principal s/n. Frente al antiguo Club Social Atacames,06 273 1745,www.radiomodularhf.com,,radiodifusoras
http://www.supercom.gob.ec/es/informate-y-participa/directorio-de-medios/205-splendid-1040-am,Splendid (1040 AM),Luis Cordero 18-18 y Eugenio Espejo,07 283 4788 / 283 2693 / 282 2730,www.radioesplendid.com.ec,radioesplendidam@hotmail.com,radiodifusoras
http://www.supercom.gob.ec/es/informate-y-participa/directorio-de-medios/206-antena-libre-105-9-fm,Antena Libre (105.9 FM),Calle Sucre y Manabí (Catedral Cristo Rey),06 272 4263 / 272 4568,www.radioantenalibre.net,lepla@hotmail.es,radiodifusoras
http://www.supercom.gob.ec/es/informate-y-participa/directorio-de-medios/207-vision-1010am-106-1-fm,"Visión (1010AM,106.1 FM)",Av. 12 de Abril 201 y Arirumba,07 288 2918 / 288 1240,www.cadenaradialvision.com,vision@etapaonline.net.ec,radiodifusoras
http://www.supercom.gob.ec/es/informate-y-participa/directorio-de-medios/208-gaviota-92-3-fm,Gaviota (92.3 FM),"El Panecillo. Ed Canal 6, 2do. piso",06 272 3026 / 272 3023,,telecosta6tv@yahoo.com,radiodifusoras
http://www.supercom.gob.ec/es/informate-y-participa/directorio-de-medios/209-union-1490-am,Unión (1490 AM),"Gustavo Becerra, entre Piedrahíta y 9 de Octubre",06 272 1440 / 272 1441 / 272 1442,www.radiounion1490am.com,radiounion1490am@hotmail.com,radiodifusoras
http://www.supercom.gob.ec/es/informate-y-participa/directorio-de-medios/210-negra-latina-99-9-fm,Negra Latina (99.9 FM),Calle 10 de Agosto e Imbabura,06 278 1849 / 278 0841,,negralatina99@yahoo.es,radiodifusoras
